id,name,address,latitude,longitude
480,REGION MAGDALENA CONTRERAS,"Cda soledad, San Bernabé Ocotepec, 10300 Ciudad de México, CDMX, México",-99.2579829,19.3094671
354,UPC CUITLAHUAC,"Calle Castilla Ote. 345, Los Reyes, Azcapotzalco, 02010 Ciudad de México, CDMX, México",-99.1822169,19.48382999999999
359,UPC CUAJIMALPA,"Ramírez, Cuajimalpa, Cuajimalpa de Morelos, 05000 Ciudad de México, CDMX, México",-99.2982131,19.3576391
35,UPC Aeropuerto,"Ruiz Cortines, Pensador Mexicano, 15510 Ciudad de México, CDMX, México",-99.0790509,19.4461983
347,UPC PANTITLAN,"Cda. Ote. 157, Salvador Díaz Mirón, Ciudad de México, CDMX, México",-99.0971876,19.4880293
279,UPC Buenavista,"C. Guerrero 222, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, México",-99.14678209521738,19.449344867119926
14,UPC Zapotitla,"10 MZ92 LT1, Col del Mar, Iztapalapa, 13270 Ciudad de México, CDMX, México",-99.0636327,19.2839113
501,D.G.O.P.M,"Cinematografistas, El Vergel, Ciudad de México, CDMX, México",-99.0809203,19.3176997
278,UPC Centro,"Pje. Allende 94, Lagunilla, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.137743,19.4432524
346,UPC TLACOTAL,"Av. Té sn, Granjas México, Iztacalco, 08000 Ciudad de México, CDMX, México",-99.09499609999999,19.3962132
345,UPC IZTACCIHUATL,"Santa Anita, Iztacalco, 08300 Ciudad de México, CDMX, México",-99.1212623,19.40267219999999
343,REGION BALAM,"Cecilio Robelo 103, Aeronáutica Militar, Venustiano Carranza, 15970 Ciudad de México, CDMX, México",-99.11534879999999,19.426033
280,UPC Asturias,"Chimalpopoca 100, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, México",-99.13738699999999,19.4226273
450,ZONA PONIENTE/CLAVERIA,"C. San Mateo 31, Santo Domingo, Azcapotzalco, 02160 Ciudad de México, CDMX, México",-99.18921259999999,19.4831986
355,UPC HORMIGA,"SN SALIDAS POSTERIORES, 02100, Av. de las Culturas SN SALIDAS POSTERIORES, El Rosario, Azcapotzalco, 02100 Ciudad de México, CDMX, México",-99.20580190000001,19.5084087
360,UPC EL YAQUI,"Ramírez, Cuajimalpa, Cuajimalpa de Morelos, 05000 Ciudad de México, CDMX, México",-99.2982131,19.3576391
10,UPC Tezonco,"Martina Istella, San Antonio, 09900 Ciudad de México, CDMX, México",-99.0763214,19.3067922
25,UPC Ticomán,"Calz. Vallejo, México",-99.1552632,19.4975074
17,UPC Tepepan,"Calle Cuitlahuac 10, San Pedro, Xochimilco, 16090 Ciudad de México, CDMX, México",-99.1082072,19.2578703
497,UPC SANTA FE,"Calle Peral, Santa Fe, Jalalpa el Grande 1er Reacomodo, Álvaro Obregón, 01377 Ciudad de México, CDMX, México",-99.2409378,19.3719129
481,DINAMO,"Juan Álvarez, La Concepción, 10830 Ciudad de México, CDMX, México",-99.23513229999999,19.3015771
526,DOV1 Norte,"C. Genaro García 355, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México",-99.1014786,19.4109549
527,DOVZ2C,"C. Puente Santo Tomas 19, La Merced, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, México",-99.1271323,19.4242665
529,DOV5 Pte,"Av. 5 de Mayo, Plenitud, Ciudad de México, CDMX, México",-99.1970789,19.4723464
517,DCEVP,"Eje Central Lázaro Cárdenas 711, Narvarte Poniente, Benito Juárez, 03410 Ciudad de México, CDMX, México",-99.146627,19.3908525
493,UPC EMBAJADAS,"Av. Ignacio Zaragoza, Lomas Altas, Miguel Hidalgo, 11950 Ciudad de México, CDMX, México",-99.2220866,19.4010648
494,UPC SOTELO,"02780, Av. 5 de Mayo 249, San Miguel Amantla, Miguel Hidalgo, 11210 Ciudad de México, CDMX, México",-99.1976979,19.4722501
523,SCT,"Eje Central Lázaro Cárdenas 711, Narvarte Poniente, Benito Juárez, 03410 Ciudad de México, CDMX, México",-99.146627,19.3908525
491,HUIPULCO-HOSPITALES,"Viad. Tlalpan 1048, Arenal Tepepan, Tlalpan, 14610 Ciudad de México, CDMX, México",-99.1553596,19.2870574
490,NARVARTE-ALAMOS,"Ermita 8, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.1552687,19.4008397
531,ASUNTOS INTERNOS,"06600, Liverpool 136, Juárez, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.16343649999999,19.4245339
487,TOPILEJO,"Tetenco 9, San Miguel Topilejo, Tlalpan, 14500 San Miguel Topilejo, CDMX, México",-99.14343559999999,19.1974159
485,FUENTE,"Av. de Las Torres 20, Miguel Hidalgo 2da Secc, Tlalpan, 14250 Ciudad de México, CDMX, México",-99.19494399999999,19.2804859
486,HOSPITALES,"Viad. Tlalpan 1048, Arenal Tepepan, Tlalpan, 14610 Ciudad de México, CDMX, México",-99.1553596,19.2870574
492,DOIPP,"Liverpool 136, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",-99.1635967,19.4244207
513,DSV,"Calle Tabachin S/N, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.1345753,19.4226036
532,REGION TLAHUAC,"10 MZ92 LT1, Col del Mar, Iztapalapa, 13270 Ciudad de México, CDMX, México",-99.0636327,19.2839113
512,DIDM,"Calle Tabachin S/N, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.1345753,19.4226036
534,UCS,"Av Arcos de Belén 79, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.14808,19.4278366
507,Dirección de operaciones 24x24,"P.za de la Constitución 2, Centro Histórico de la Cdad. de México, Tránsito, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",-99.13387639999999,19.4317762
506,Dirección de operaciones 12x12,"P.za de la Constitución 2, Centro Histórico de la Cdad. de México, Tránsito, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",-99.13387639999999,19.4317762
535,SDI,"Chimalpopoca, Centro, Ciudad de México, CDMX, México",-99.137911,19.4224874
505,DIRECCIÓN DE OPERACIONES 12X36,"P.za de la Constitución 2, Centro Histórico de la Cdad. de México, Tránsito, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",-99.13387639999999,19.4317762
504,Penitenciaria,"San Antonio Abad 130-piso 10, Tránsito, Cuauhtémoc, 06820 Ciudad de México, CDMX, México",-99.1340184,19.4158099
510,UPC ALPES,"Tlaxcala & Avenida Toluca, Progreso, 01080 Ciudad de México, CDMX, México",-99.2026088,19.3403978
489,ABRAHAM,"Monrovia 143, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, México",-99.14893219999999,19.3719124
509,San Angel,"Tlaxcala 19, Tizapán San Ángel, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, México",-99.2019093,19.3396758
499,TEQUIHUA-ALAMO,"Cinematografistas, El Vergel, Ciudad de México, CDMX, México",-99.0809203,19.3176997
515,DGIT,"Calle Tabachin S/N, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.1345753,19.4226036
524,SPI,"Calle Tabachin S/N, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.1345753,19.4226036
525,ZV3,"Ermita Iztapalapa, Prado Churubusco, Ciudad de México, CDMX, México",-99.1250987,19.3579767
522,DIDF,"Casa del Obrero Mundial 4, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.15061999999999,19.40239
521,DGANT,"Casa del Obrero Mundial 4, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.15061999999999,19.40239
520,DCIPI,"Casa del Obrero Mundial 4, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.15061999999999,19.40239
519,DCD,"Casa del Obrero Mundial 4, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.15061999999999,19.40239
518,DDGIT,"Casa del Obrero Mundial 4, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.15061999999999,19.40239
516,DGOT,"Calle Tabachin S/N, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",-99.1345753,19.4226036
514,DSOT,"C. Nivel 99, Lorenzo Boturini, Venustiano Carranza, 15820 Ciudad de México, CDMX, México",-99.12584918349734,19.41599089389335
511,DIIT,"Casa del Obrero Mundial 358, Piedad Narvarte, Benito Juárez, 03000 Ciudad de México, CDMX, México",-99.1573992,19.40195
533,DIRECCION GENERAL DE APLICACIÓN DE NORMATIVIDAD DE TRANSITO,"Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, México",-99.1364559,19.4242562
536,DEUEG,"Av Arcos de Belén 79-piso 8, Colonia Centro, Centro, Cuauhtémoc, 06070 Ciudad de México, CDMX, México",-99.14830409999999,19.4276479
