hex_id,hex_code
88498211d1fffff,HEX-00317
88498211d3fffff,HEX-00318
88498211d5fffff,HEX-00319
88498211d7fffff,HEX-00320
88498211d9fffff,HEX-00321
88498211dbfffff,HEX-00322
88498211ddfffff,HEX-00323
88498211e1fffff,HEX-00324
88498211e3fffff,HEX-00325
88498211e5fffff,HEX-00326
88498211e7fffff,HEX-00327
88498211e9fffff,HEX-00328
88498211ebfffff,HEX-00329
88498211edfffff,HEX-00330
8849821201fffff,HEX-00331
8849821203fffff,HEX-00332
8849821205fffff,HEX-00333
8849821207fffff,HEX-00334
8849821209fffff,HEX-00335
884982120bfffff,HEX-00336
884982120dfffff,HEX-00337
8849821211fffff,HEX-00338
8849821213fffff,HEX-00339
8849821215fffff,HEX-00340
8849821217fffff,HEX-00341
8849821219fffff,HEX-00342
884982121bfffff,HEX-00343
884982121dfffff,HEX-00344
8849821221fffff,HEX-00345
8849821223fffff,HEX-00346
8849821225fffff,HEX-00347
8849821227fffff,HEX-00348
8849821229fffff,HEX-00349
884982122bfffff,HEX-00350
884982122dfffff,HEX-00351
8849821231fffff,HEX-00352
8849821233fffff,HEX-00353
8849821235fffff,HEX-00354
8849821237fffff,HEX-00355
8849821239fffff,HEX-00356
884982123bfffff,HEX-00357
884982123dfffff,HEX-00358
8849821241fffff,HEX-00359
8849821243fffff,HEX-00360
8849821245fffff,HEX-00361
8849821247fffff,HEX-00362
8849821249fffff,HEX-00363
884982124bfffff,HEX-00364
884982124dfffff,HEX-00365
8849821251fffff,HEX-00366
8849821253fffff,HEX-00367
8849821255fffff,HEX-00368
8849821257fffff,HEX-00369
8849821259fffff,HEX-00370
884982125bfffff,HEX-00371
884982125dfffff,HEX-00372
8849821261fffff,HEX-00373
8849821263fffff,HEX-00374
8849821265fffff,HEX-00375
8849821267fffff,HEX-00376
8849821269fffff,HEX-00377
884982126bfffff,HEX-00378
884982126dfffff,HEX-00379
8849821281fffff,HEX-00380
8849821283fffff,HEX-00381
8849821285fffff,HEX-00382
8849821287fffff,HEX-00383
8849821289fffff,HEX-00384
884982128bfffff,HEX-00385
884982128dfffff,HEX-00386
8849821291fffff,HEX-00387
8849821293fffff,HEX-00388
8849821295fffff,HEX-00389
8849821297fffff,HEX-00390
8849821299fffff,HEX-00391
884982129bfffff,HEX-00392
884982129dfffff,HEX-00393
88498212a1fffff,HEX-00394
88498212a3fffff,HEX-00395
88498212a5fffff,HEX-00396
88498212a7fffff,HEX-00397
88498212a9fffff,HEX-00398
88498212abfffff,HEX-00399
88498212adfffff,HEX-00400
88498212b1fffff,HEX-00401
88498212b3fffff,HEX-00402
88498212b5fffff,HEX-00403
88498212b7fffff,HEX-00404
88498212b9fffff,HEX-00405
88498212bbfffff,HEX-00406
88498212bdfffff,HEX-00407
88498212c1fffff,HEX-00408
88498212c3fffff,HEX-00409
88498212c5fffff,HEX-00410
88498212c7fffff,HEX-00411
88498212c9fffff,HEX-00412
88498212cbfffff,HEX-00413
88498212cdfffff,HEX-00414
88498212d1fffff,HEX-00415
88498212d3fffff,HEX-00416
88498212d5fffff,HEX-00417
88498212d7fffff,HEX-00418
88498212d9fffff,HEX-00419
88498212dbfffff,HEX-00420
88498212ddfffff,HEX-00421
88498212e1fffff,HEX-00422
88498212e3fffff,HEX-00423
88498212e5fffff,HEX-00424
88498212e7fffff,HEX-00425
88498212e9fffff,HEX-00426
88498212ebfffff,HEX-00427
88498212edfffff,HEX-00428
8849821301fffff,HEX-00429
8849821303fffff,HEX-00430
8849821305fffff,HEX-00431
8849821307fffff,HEX-00432
8849821309fffff,HEX-00433
884982130bfffff,HEX-00434
884982130dfffff,HEX-00435
8849821311fffff,HEX-00436
8849821313fffff,HEX-00437
8849821315fffff,HEX-00438
8849821317fffff,HEX-00439
8849821319fffff,HEX-00440
884982131bfffff,HEX-00441
884982131dfffff,HEX-00442
8849821321fffff,HEX-00443
8849821323fffff,HEX-00444
8849821325fffff,HEX-00445
8849821327fffff,HEX-00446
8849821329fffff,HEX-00447
884982132bfffff,HEX-00448
884982132dfffff,HEX-00449
8849821331fffff,HEX-00450
8849821333fffff,HEX-00451
8849821335fffff,HEX-00452
8849821337fffff,HEX-00453
8849821339fffff,HEX-00454
884982133bfffff,HEX-00455
884982133dfffff,HEX-00456
8849821341fffff,HEX-00457
8849821343fffff,HEX-00458
8849821345fffff,HEX-00459
8849821347fffff,HEX-00460
8849821349fffff,HEX-00461
884982134bfffff,HEX-00462
884982134dfffff,HEX-00463
8849821351fffff,HEX-00464
8849821353fffff,HEX-00465
